Time,Open,High,Low,Close
2025-02-27 23:45:00,2876.06,2876.6,2875.46,2875.95
2025-02-27 23:50:00,2875.96,2876.91,2875.83,2876.86
2025-02-27 23:55:00,2876.88,2876.88,2875.85,2875.98
2025-02-28 00:00:00,2875.99,2875.99,2874.89,2875.59
2025-02-28 00:05:00,2875.79,2875.79,2875.31,2875.39
2025-02-28 00:10:00,2875.4,2875.5,2874.9,2875.43
2025-02-28 00:15:00,2875.42,2876.69,2875.31,2876.5
2025-02-28 00:20:00,2876.48,2878.4,2876.48,2878.08
2025-02-28 00:25:00,2878.09,2879.76,2877.66,2879.07
2025-02-28 00:30:00,2879.06,2879.97,2877.96,2878.47
2025-02-28 00:35:00,2878.51,2879.75,2878.33,2879.75
2025-02-28 00:40:00,2879.64,2880.24,2878.4,2878.43
2025-02-28 00:45:00,2878.41,2878.41,2877.16,2877.36
2025-02-28 00:50:00,2877.34,2877.66,2876.99,2877.25
2025-02-28 00:55:00,2877.21,2878.16,2876.91,2876.92
2025-02-28 01:00:00,2876.93,2879.06,2876.93,2878.51
2025-02-28 01:05:00,2878.49,2883.81,2878.49,2883.7
2025-02-28 01:10:00,2883.72,2885.11,2878.5,2878.67
2025-02-28 01:15:00,2878.52,2880.14,2878.09,2879.16
2025-02-28 01:20:00,2879.17,2880.43,2878.76,2879.48
2025-02-28 01:25:00,2879.62,2881.3,2879.07,2880.87
2025-02-28 01:30:00,2880.86,2882.15,2879.1,2879.72
2025-02-28 01:35:00,2879.8,2880.3,2878.5,2880.06
2025-02-28 01:40:00,2880.06,2881.74,2879.33,2879.44
2025-02-28 01:45:00,2879.39,2881,2879.36,2880.44
2025-02-28 01:50:00,2880.45,2880.57,2874.54,2875.12
2025-02-28 01:55:00,2875.13,2875.87,2873.79,2874.78
2025-02-28 02:00:00,2874.69,2874.82,2870.72,2870.83
2025-02-28 02:05:00,2870.68,2875.95,2870.38,2874.44
2025-02-28 02:10:00,2874.42,2874.68,2872.18,2874.55
2025-02-28 02:15:00,2874.54,2875.2,2873.53,2874.79
2025-02-28 02:20:00,2874.77,2877.43,2874.59,2877.28
2025-02-28 02:25:00,2877.27,2877.87,2875.15,2875.16
2025-02-28 02:30:00,2875.18,2876.79,2874.57,2875.32
2025-02-28 02:35:00,2875.34,2875.64,2873.95,2874.49
2025-02-28 02:40:00,2874.52,2875.87,2874,2875.14
2025-02-28 02:45:00,2875.15,2876.4,2874.57,2875.85
2025-02-28 02:50:00,2875.71,2875.89,2874.09,2874.1
2025-02-28 02:55:00,2873.67,2874.57,2872.76,2873.34
2025-02-28 03:00:00,2873.33,2874.14,2872.86,2873.2
2025-02-28 03:05:00,2873.19,2876.22,2873.04,2873.82
2025-02-28 03:10:00,2873.91,2875.4,2873.7,2873.83
2025-02-28 03:15:00,2873.85,2873.95,2871.22,2871.48
2025-02-28 03:20:00,2871.47,2871.75,2867.94,2869.02
2025-02-28 03:25:00,2869,2869.8,2868.17,2868.41
2025-02-28 03:30:00,2868.51,2869.55,2868,2868.65
2025-02-28 03:35:00,2868.66,2869.68,2867.78,2868.21
2025-02-28 03:40:00,2868.2,2868.68,2863.53,2863.68
2025-02-28 03:45:00,2863.8,2866.18,2863.8,2866.13
2025-02-28 03:50:00,2866.11,2866.91,2865.31,2866.43
2025-02-28 03:55:00,2866.44,2866.97,2865.57,2865.76
